Jawa Barat,Bandung,7500,30000,88000,60000,120000
Jawa Tengah,Semarang,9500,35000,98000,70000,160000
Jawa Timur,Surabaya,7500,30000,88000,60000,120000
Papua,Timika,7500,30000,88000,60000,120000
Jawa Timur,Malang,7500,30000,88000,60000,120000
Banten,Tanggerang,7500,30000,88000,60000,120000
Jawa Barat,Tasikmalaya,7500,30000,88000,60000,120000
DIY,Yogyakarta,7500,30000,88000,60000,120000
Sumatera Utara,Medan,7500,30000,88000,60000,120000
Sumatera Utara,Nias,7500,30000,88000,60000,120000
Bali,Denpasar,7500,30000,88000,60000,120000
Jepara,Jawa Tengah,15000.0,25000.0,35000.0,45000.0,55000.0
Kuningan,Jawa Barat,9500.0,18000.0,29000.0,34000.0,46000.0
Kebon Nanas,Kebon,15000.0,23000.0,45000.0,56000.0,79000.0
Maluku,Ambon,15000.0,45000.0,65000.0,76.0,89.0
